	City	Cloudiness	Country	Date	Humidity	Lat	Lng	Max Temp	Wind Speed
0	Hermanus	88	ZA	1554773481	92	-34.42	19.24	66.99	3.4
1	Vaini	20	IN	1554771600	94	15.34	74.49	69.8	1.36
2	Kavaratti	24	IN	1554773565	100	10.57	72.64	84.88	3.89
3	Port Alfred	88	ZA	1554773542	96	-33.59	26.89	63.0	3.56
4	Atuona	76	PF	1554773566	100	-9.8	-139.03	80.83	7.31
5	Mataura	8	NZ	1554773407	55	-46.19	168.86	75.0	1.99
6	Verkhnetulomskiy	40	RU	1554771600	85	68.61	31.8	23.0	2.24
7	Bambous Virieux	75	MU	1554773338	78	-20.34	57.76	80.6	10.29
8	Butaritari	88	KI	1554773567	100	3.07	172.79	81.73	10.89
9	Oktyabrskoye	0	RU	1554773467	74	56.73	85.44	35.01	6.71
10	Sandviken	88	SE	1554773526	43	60.62	16.77	32.0	7.0
11	Hermanus	88	ZA	1554773481	92	-34.42	19.24	66.99	3.4
12	Butaritari	88	KI	1554773568	100	3.07	172.79	81.73	10.89
13	Ruteng	8	ID	1554773569	81	-8.61	120.46	83.35	3.62
14	Longyearbyen	75	NO	1554769200	85	78.22	15.63	14.0	6.93
15	Belmonte	92	PT	1554773481	85	40.36	-7.35	46.0	8.01
16	Vao	68	EE	1554773570	92	59.1	26.19	35.2	7.09
17	Rikitea	36	PF	1554773570	100	-23.12	-134.97	76.51	5.64
18	Bredasdorp	36	ZA	1554773447	88	-34.53	20.04	68.0	2.24
19	Vaini	20	IN	1554771600	94	15.34	74.49	69.8	1.36
20	Bredasdorp	36	ZA	1554773447	88	-34.53	20.04	68.0	2.24
21	Georgetown	0	GY	1554771600	88	6.8	-58.16	80.6	6.93
22	Pisco	0	PE	1554771600	78	-13.71	-76.2	71.6	19.46
23	Xining	0	CN	1554773515	29	36.62	101.77	51.31	5.91
24	Waingapu	0	ID	1554773573	78	-9.65	120.26	85.69	4.79
25	Rikitea	36	PF	1554773570	100	-23.12	-134.97	76.51	5.64
26	Straumen	0	NO	1554773524	86	63.87	11.3	36.0	1.12
27	Hobart	20	AU	1554773474	60	-42.88	147.33	55.99	14.99
28	Timmins	90	CA	1554771600	96	48.48	-81.33	32.0	8.05
29	Rikitea	36	PF	1554773570	100	-23.12	-134.97	76.51	5.64
30	Pokhara	0	NP	1554773501	80	28.21	83.99	60.67	1.83
31	Hobart	20	AU	1554773474	60	-42.88	147.33	55.99	14.99
32	Qaanaaq	76	GL	1554773574	92	77.48	-69.36	15.76	3.29
33	East London	32	ZA	1554773497	100	-33.02	27.91	70.93	6.35
34	Aksu	0	KZ	1554771600	92	52.04	76.93	24.8	6.71
35	Sao Joao Da Barra	64	BR	1554773575	100	-21.64	-41.05	79.75	12.35
36	Hermanus	88	ZA	1554773481	92	-34.42	19.24	66.99	3.4
37	Hermanus	88	ZA	1554773481	92	-34.42	19.24	66.99	3.4
38	Mugumu	36	TZ	1554773576	98	-1.84	34.67	61.84	2.33
39	Hilo	75	US	1554773539	61	19.71	-155.08	80.6	10.29
40	Vila Velha	40	BR	1554772693	83	-3.71	-38.6	82.4	4.7
41	Tasiilaq	92	GL	1554771000	55	65.61	-37.64	33.8	21.92
42	Yantikovo	0	RU	1554771600	74	55.52	47.78	30.2	6.71
43	Butaritari	88	KI	1554773577	100	3.07	172.79	81.73	10.89
44	Sao Filipe	0	CV	1554773577	96	14.9	-24.5	71.38	14.07
45	Georgetown	0	GY	1554771600	88	6.8	-58.16	80.6	6.93
46	Vardo	75	US	1554773346	72	39.62	-77.74	66.99	6.93
47	Talpa	0	MX	1554773295	18	28.83	-111.63	96.01	8.01
48	Chokurdakh	24	RU	1554773578	100	70.62	147.9	18.55	10.6
49	Zyryanskoye	0	RU	1554773579	79	56.83	86.62	37.9	8.55
50	Arraial Do Cabo	88	BR	1554773579	100	-22.97	-42.02	76.24	1.54
51	Larsnes	20	NO	1554773510	74	62.2	5.58	39.0	14.99
52	Longyearbyen	75	NO	1554769200	85	78.22	15.63	14.0	6.93
53	Tougue	64	GN	1554773579	52	11.45	-11.68	77.05	3.4
54	Hilo	75	US	1554773539	61	19.71	-155.08	80.6	10.29
55	Puerto Ayora	20	EC	1554773479	78	-0.74	-90.35	82.4	10.29
56	Zapolyarnyy	80	RU	1554771000	92	69.43	30.82	24.8	12.75
57	Vostok	48	RU	1554773581	63	46.45	135.83	39.43	4.07
58	Vila Velha	40	BR	1554772693	83	-3.71	-38.6	82.4	4.7
59	Rikitea	36	PF	1554773570	100	-23.12	-134.97	76.51	5.64
60	Meulaboh	12	ID	1554773581	100	4.14	96.13	84.43	3.0
61	Leningradskiy	0	RU	1554773581	88	69.38	178.42	4.15	15.48
62	Clovis	75	US	1554773311	53	36.83	-119.7	78.8	13.87
63	Vaini	20	IN	1554771600	94	15.34	74.49	69.8	1.36
64	Axim	24	GH	1554773582	100	4.87	-2.24	81.55	10.78
65	Punta Arenas	90	CL	1554773547	93	-53.16	-70.91	44.6	24.16
66	Saskylakh	44	RU	1554773582	86	71.97	114.09	8.38	10.6
67	Morondava	8	MG	1554773583	100	-20.3	44.28	76.15	0.98
68	Karratha	24	AU	1554773332	61	-20.74	116.85	83.32	6.24
69	Rafai	56	CF	1554773583	89	4.95	23.92	74.53	4.23
70	Tiksi	64	RU	1554773584	81	71.64	128.87	31.69	9.37
71	Svetlogorsk	0	RU	1554771600	86	53.14	59.15	33.8	6.71
72	Punta Arenas	90	CL	1554773547	93	-53.16	-70.91	44.6	24.16
73	Stryn	0	NO	1554773510	86	61.9	6.72	34.0	1.54
74	Carnarvon	0	ZA	1554773586	81	-30.97	22.13	53.83	8.32
75	Tuktoyaktuk	75	CA	1554771600	77	69.44	-133.03	3.2	13.87
76	Delaware	75	US	1554773528	77	40.3	-83.07	63.0	7.31
77	Saskylakh	44	RU	1554773582	86	71.97	114.09	8.38	10.6
78	Sechura	36	PE	1554773587	76	-5.56	-80.82	74.98	12.06
79	Butaritari	88	KI	1554773577	100	3.07	172.79	81.73	10.89
80	Qaanaaq	76	GL	1554773574	92	77.48	-69.36	15.76	3.29
81	Yellowknife	75	CA	1554773431	80	62.45	-114.38	35.6	9.17
82	San Vicente De Canete	100	PE	1554773588	92	-13.08	-76.38	65.62	0.31
83	Hermanus	88	ZA	1554773481	92	-34.42	19.24	66.99	3.4
84	Cherskiy	36	RU	1554773588	75	68.75	161.3	24.49	1.72
