City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Blackfoot,75,US,1554768195,48,43.19,-112.35,64.4,13.87
Yellowknife,75,CA,1554768023,86,62.45,-114.38,35.01,9.17
Isangel,20,VU,1554764400,65,-19.55,169.27,82.4,5.82
Rikitea,0,PF,1554768255,100,-23.12,-134.97,76.39,5.01
Tendukheda,0,IN,1554768291,72,23.4,79.54,66.22,2.77
Kurilsk,48,RU,1554768292,98,45.23,147.88,29.41,11.32
Hithadhoo,92,MV,1554768006,100,-0.6,73.08,83.32,4.79
Ushuaia,20,AR,1554764400,97,-54.81,-68.31,42.8,17.22
Arraial Do Cabo,88,BR,1554768293,100,-22.97,-42.02,76.39,7.85
Constitucion,5,MX,1554768016,7,23.99,-104.67,75.2,17.22
Ushuaia,20,AR,1554764400,97,-54.81,-68.31,42.8,17.22
Punta Arenas,90,CL,1554767547,93,-53.16,-70.91,44.6,20.8
Barrow,0,AR,1554768255,42,-38.31,-60.23,71.08,11.16
Ushuaia,20,AR,1554764400,97,-54.81,-68.31,42.8,17.22
Albany,90,US,1554768158,76,42.65,-73.75,57.99,6.35
Katsuura,40,JP,1554766496,50,33.93,134.5,51.8,13.87
Butaritari,64,KI,1554768294,100,3.07,172.79,81.16,12.44
Yining,92,CN,1554768295,95,29.04,114.56,69.01,6.8
Abnub,0,EG,1554764400,48,27.27,31.15,62.6,12.75
Zambezi,68,ZM,1554768295,94,-13.55,23.12,66.22,4.38
Tazovskiy,88,RU,1554768295,95,67.47,78.7,22.12,12.39
Huarmey,92,PE,1554768296,57,-10.07,-78.15,72.07,3.49
Olinda,75,EC,1554768159,62,-2.03,-79.75,84.2,10.29
Isangel,20,VU,1554764400,65,-19.55,169.27,82.4,5.82
Wageningen,90,NL,1554768286,76,51.98,5.66,54.0,12.75
Ribeira Grande,40,PT,1554766200,67,38.52,-28.7,59.0,11.41
Ponta Do Sol,64,BR,1554768297,94,-20.63,-46.0,67.12,3.04
Victoria,75,BN,1554766200,88,5.28,115.24,82.4,3.22
Ixtapa,5,MX,1554768037,65,20.71,-105.21,78.8,12.75
Esperance,20,TT,1554768071,78,10.24,-61.45,78.8,9.17
Airai,0,TL,1554768299,69,-8.93,125.41,77.65,1.03
Zagare,90,LT,1554765600,80,56.36,23.25,33.8,14.99
Kapaa,40,US,1554768075,61,22.08,-159.32,80.6,10.29
Papara,0,BR,1554767893,83,-3.98,-38.73,82.0,3.36
Nova Odesa,76,UA,1554768300,68,47.3,31.79,49.75,2.89
East London,0,ZA,1554768301,100,-33.02,27.91,71.44,1.25
Severo-Kurilsk,56,RU,1554768301,93,50.68,156.12,32.02,15.35
Ushuaia,20,AR,1554764400,97,-54.81,-68.31,42.8,17.22
Hithadhoo,92,MV,1554768006,100,-0.6,73.08,83.32,4.79
Laguna,5,MX,1554763260,16,27.52,-110.01,95.0,12.75
Nanortalik,12,GL,1554768303,86,60.14,-45.24,35.44,37.83
Rundu,0,NA,1554768303,83,-17.91,19.77,66.58,5.06
Hermanus,88,ZA,1554768052,92,-34.42,19.24,64.99,2.89
Kachiry,0,KZ,1554768303,76,53.07,76.1,26.62,3.56
Hagere Selam,92,ET,1554768303,95,6.48,38.52,59.83,2.33
Vaini,0,IN,1554768257,90,15.34,74.49,65.23,1.36
Vaini,0,IN,1554768257,90,15.34,74.49,65.23,1.36
Mataura,36,NZ,1554768263,91,-46.19,168.86,54.88,5.12
Hermanus,88,ZA,1554768052,92,-34.42,19.24,64.99,2.89
Fairbanks,1,US,1554767906,43,64.84,-147.72,55.0,4.0
Bossangoa,36,CF,1554768305,67,6.5,17.45,77.92,8.37
Nikolskoye,90,RU,1554768036,91,59.7,30.79,35.01,6.71
Kruisfontein,100,ZA,1554768306,84,-34.0,24.73,61.99,2.77
Mataura,36,NZ,1554768263,91,-46.19,168.86,54.88,5.12
Barcelos,40,PT,1554768216,82,41.53,-8.62,55.4,13.87
Yichun,0,CN,1554768306,44,47.72,128.88,39.22,3.33
San Jose,36,PH,1554768300,78,15.79,120.99,78.1,2.55
Boden,90,SE,1554765600,58,65.83,21.69,28.4,10.29
Saint-Philippe,90,CA,1554768303,100,45.36,-73.48,37.4,12.75
Jacareacanga,76,BR,1554768308,100,-6.22,-57.76,75.85,2.1
Jonava,0,LT,1554768049,81,55.07,24.28,33.01,4.7
Busselton,0,AU,1554768281,45,-33.64,115.35,61.0,20.38
Tura,100,IN,1554768309,94,25.52,90.21,65.5,3.22
Port-Cartier,40,CA,1554768208,57,50.03,-66.88,21.0,6.93
Saldanha,92,PT,1554768310,95,41.42,-6.55,43.0,11.05
Khatanga,76,RU,1554768311,81,71.98,102.47,5.83,12.17
Hammerfest,40,NO,1554765600,85,70.66,23.68,19.4,6.93
Saint-Augustin,75,FR,1554768211,100,44.83,-0.61,46.99,2.82
Ushuaia,20,AR,1554764400,97,-54.81,-68.31,42.8,17.22
Upernavik,24,GL,1554768312,88,72.79,-56.15,24.28,7.02
Mina,36,PH,1554768312,89,10.93,122.57,79.9,8.03
Houlton,90,US,1554768143,92,46.13,-67.84,24.8,5.82
Itarema,64,BR,1554768313,96,-2.92,-39.92,77.56,3.6
Mackenzie,40,CA,1554764400,34,55.34,-123.09,50.0,2.24
Albany,90,US,1554768158,76,42.65,-73.75,57.99,6.35
Hirara,40,JP,1554764400,88,24.8,125.28,78.8,11.41
Tual,0,ID,1554768314,99,-5.67,132.75,84.49,8.14
Ribeira Grande,40,PT,1554766200,67,38.52,-28.7,59.0,11.41
Avarua,24,CK,1554766200,78,-21.21,-159.78,80.6,16.11
Port Elizabeth,90,US,1554768311,77,39.31,-74.98,78.8,11.41
Hithadhoo,92,MV,1554768006,100,-0.6,73.08,83.32,4.79
